Kategori,Nama Produk,text_cleaned
BBM,Pertalite,pertalite
BBM,Bensin,bensin
BBM,Pertamax,pertamax
BBM,Pertamax Turbo,pertamax turbo
BBM,Dexlite,dexlite
BBM,Pertamina Dex,pertamina dex
BBM,Solar,solar
BBM,Shell Super,shell super
BBM,Shell V-Power,shell vpower
BBM,Shell V-Power Nitro+,shell vpower nitro
BBM,Shell V-Power Diesel,shell vpower diesel
BBM,BP 90,bp
BBM,BP 92,bp
BBM,BP Ultimate,bp ultimate
BBM,BP Diesel,bp diesel
BBM,Revvo 89,revvo
BBM,Revvo 90,revvo
BBM,Revvo 92,revvo
BBM,Diesel Primus,diesel primus
BBM,Bio Solar,bio solar
BBM,Pertamax Green 95,pertamax green
BBM,Bioetanol Blend,bioetanol blend
BBM,Premium (RON 88),premium ron
Parkir,Parkir Motor,parkir motor
Parkir,Parkir Mobil,parkir mobil
Parkir,Parkir Bus,parkir bus
Parkir,Parkir Truk,parkir truk
Parkir,Parkir Sepeda,parkir sepeda
Parkir,Parkir Kampus,parkir kampus
Parkir,Parkir Sekolah,parkir sekolah
Parkir,Parkir Kantor,parkir kantor
Parkir,Parkir Mall,parkir mall
Parkir,Parkir Pasar,parkir pasar
Parkir,Parkir Rumah Sakit,parkir rumah sakit
Parkir,Parkir Hotel,parkir hotel
Parkir,Parkir Restoran,parkir restoran
Parkir,Parkir Apartemen,parkir apartemen
Parkir,Parkir Perumahan,parkir perumahan
Parkir,Parkir Stadion,parkir stadion
Parkir,Parkir Bandara,parkir bandara
Parkir,Parkir Stasiun,parkir stasiun
Parkir,Parkir Terminal,parkir terminal
Parkir,Parkir Pelabuhan,parkir pelabuhan
Parkir,Parkir Tempat Wisata,parkir tempat wisata
Parkir,Parkir Gedung,parkir gedung
Parkir,Parkir Basement,parkir basement
Parkir,Parkir Rooftop,parkir rooftop
Parkir,Parkir Pinggir Jalan,parkir pinggir jalan
Parkir,Parkir Area Publik,parkir area publik
Parkir,Parkir VIP,parkir vip
Parkir,Valet Parking,valet parking
Parkir,Parkir Inap,parkir inap
Parkir,Parkir Harian,parkir harian
Parkir,Parkir Mingguan,parkir mingguan
Parkir,Parkir Bulanan,parkir bulanan
Parkir,Parkir Tahunan,parkir tahunan
Parkir,Parkir Langganan,parkir langganan
Parkir,Parkir Event,parkir event
Parkir,Parkir Konser,parkir konser
Parkir,Parkir Pameran,parkir pameran
Parkir,Parkir Car Free Day,parkir car free day
Parkir,Parkir Transit,parkir transit
Parkir,Park and Ride,park and ride
Parkir,Parkir Rest Area,parkir rest area
Parkir,Parkir Tol,parkir tol
Parkir,Parkir Wisata,parkir wisata
Parkir,Parkir Kendaraan Listrik,parkir kendaraan listrik
Parkir,Charging + Parking,charging parking
